[W, W, W, W][R, R, G, G][Y, Y, Y, Y][B, B, R, R][O, O, B, B][G, G, O, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@U
[W, W, W, W][O, O, G, G][Y, Y, Y, Y][G, G, R, R][R, R, B, B][B, B, O, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@U'
[W, W, O, O][G, G, G, G][R, R, Y, Y][W, R, W, R][B, B, B, B][O, Y, O, Y]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@F
[W, W, R, R][G, G, G, G][O, O, Y, Y][Y, R, R, Y][B, B, B, B][O, W, O, W]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@F'
[W, W, W, W][G, G, O, O][Y, Y, Y, Y][R, R, G, G][B, B, R, R][O, O, B, B]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@D
[W, W, W, W][O, O, G, G][Y, Y, Y, Y][G, G, R, R][R, R, B, B][B, B, O, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@D'
[W, G, W, G][G, Y, G, Y][Y, B, Y, B][R, R, R, R][W, B, W, B][O, O, O, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@R
[W, B, W, B][G, W, G, W][Y, G, Y, G][R, R, R, R][Y, B, Y, B][O, O, O, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@R'
[R, R, W, W][G, G, G, G][Y, Y, O, O][R, Y, R, Y][B, B, B, B][W, O, W, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@B
[O, O, W, W][G, G, G, G][Y, Y, R, R][R, W, R, W][B, B, B, B][Y, O, Y, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@B'
[B, W, B, W][W, G, W, G][G, Y, G, Y][R, R, R, R][B, Y, B, Y][O, O, O, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@L
[G, W, G, W][Y, G, Y, G][B, Y, B, Y][R, R, R, R][B, W, B, W][O, O, O, O]@[W, W, W, W][G, G, G, G][Y, Y, Y, Y][R, R, R, R][B, B, B, B][O, O, O, O]@L'
[W, W, W, W][B, B, G, G][Y, Y, Y, Y][O, O, R, R][G, G, B, B][R, R, O, O]@[W, W, W, W][R, R, G, G][Y, Y, Y, Y][B, B, R, R][O, O, B, B][G, G, O, O]@U
[W, W, O, G][G, R, G, R][R, B, Y, Y][W, B, W, R][O, O, B, B][G, Y, O, Y]@[W, W, W, W][R, R, G, G][Y, Y, Y, Y][B, B, R, R][O, O, B, B][G, G, O, O]@F
